label,text
Spam,"CONGRATS!! You WON ?1,00,000 click here luckywinz.in"
Ham,"Hey, are you coming to the meeting today?"
Spam,Get up to ?10L business loan today - minimal docs!
Spam,Your mobile no. selected for $5000 cash! Claim fast: www.rewardme.com
Ham,Don’t forget to call mom when you get home.
Spam,"HURRY!! You are todays lucky winner of ?25,000 bit.ly/claimwin"
Spam,"Dear user, claim ur FREE recharge ?4999 at giftwallet.co.in"
Ham,I’ll send you the report by evening.
Spam,OMG You are 1 of 10 winners! Grab ur gift card now: shopfree4u.com
Ham,Let’s grab lunch tomorrow at 1 PM.
Spam,Woohoo You’ve been chosen for our lucky draw! winbigcash.net
Ham,The files are saved in the shared folder.
Ham,Can you please email me the updated document?
Spam,FINAL NOTICE: claim ur lottery reward before midnight!! cashzone.in
Ham,"I reached safely, thanks for checking."
Ham,Are we still on for the movie tonight?
Spam,U r selected for $2000 cash draw reply YES to claim
Spam,Win iPhone 15 Pro Max for FREE visit now luckyofferz.org
Ham,Call me once you’re done with your class.
Ham,Meeting postponed to 4 PM. Please inform others.
Spam,Hey! Congrats winner ?? visit luckybag.in to receive ur 1 lakh prize
Ham,Did you finish the assignment?
Ham,Let’s meet at the coffee shop near station.
Spam,"Claim ?10,000 shopping voucher NOW – click myluck.in/deal"
Ham,Can you share your location?
Spam,Instant loan! Just Aadhaar & PAN required. No credit check
Ham,Don’t forget to bring your ID card tomorrow.
Spam,WINNER ALERT! Your ID 6655 got selected in weekly draw
Ham,"Just saw your message, will reply soon."
