label,text
Spam,???? ???? ???? ??? ???? ???? ??? ????? ??????? ????? ???? www.secureupdate.in 
Ham,??? ?? ???? ??? ???? ?? ??????
Spam,???? ???? ???? ??? ???? ???? ??? ????? ??????? ????? ???? www.secureupdate.in
Ham,?? ?? ??? ???? ????? ?????
Spam,"???? ????? ??? ?1,00,000 ?? ????? ??? ????? ?? ??? ???? ?? ????? ???? "
Ham,???? ????? ?? ??? ???? ?????
Ham,??? ??? ??? ??? ??? ???? ??????? ???
Spam,???? KYC ?????????? ????? ??? ???? ?????? ???? ?? ???? ????? ?????
Ham,???????? ??? ???? ???? ?? ???? ????
Ham,??? ?? ??? ?? ??? ?? ?? ???
Ham,??? ?? ???? ????? ? ?? ?????
Spam,???? KYC ?????????? ????? ??? ???? ?????? ???? ?? ???? ????? ?????
Ham,?? ?? ??? ??? ???? ?? ?? ???? ???????
Spam,???? ?????? ????? ?? ????? ????! ??????? ???? www.freeoffer.in
Ham,"???, ????? ??? ???? ?? ???"
Ham,???????? ??????? ??? ??? ?? ???
Spam,?? ???? ?5000 ??? ?????? ???? ???? www.earnathome.in
Ham,??????? ?? ????? ??? ?? ???
Ham,??? ????? ??? ??? ?????? ??? ??????? ?? ????
Spam,???? ?????? ??? ???? ???? ??? ??????? ????? ???? www.secureme.in
Ham,???? ?? ???? ??? ?? ???
Spam,??????????? ???? ?? ?200 ?????? ????! ??? ????? ??? ?? ????
Ham,??? ?? ??? ???? ?????? ??? ???? ???
Spam,"???? ??? ???? ??? ???? ??? ???? ??? ?? ?25,000 ????? ?? ????"
Ham,???????? ????? ?? ???? ???
Ham,??? ??? ??????? ???? ???? ???
Spam,????? ?? ?? ????? ??? ???? ??? ????? ??? ??????? ?? ??? ??? ?????
Ham,???? ??? ???? ??? ?? ????
Spam,???? ??? ?? ?????? ??? ?????? ?? ??? ??? ????? ???? www.loan4u.in
